titel,birth_year,dead_year,start_of_reign,end_of_reign
gorm_den_gamle,908,958,936,958
harald_blaatand,na,987,na,na
svend_tveskaeg,na,1014,980,na
harald_2,na,na,1014,1018
knud_den_store,995,na,1018,1035
hardeknud,1020,1042,1035,1042
magnus_den_gode,1024,1047,1042,1047
svend_estriden,na,1076,1047,1074
harald_hen,na,1080,1074,1080
knud_den_hellige,na,1086,1080,1086
oluf_1,na,1095,1086,1095
erik_ejegod,1056,1103,1095,1103
niels,na,1134,1104,1134
erik_emune,na,1137,1134,1137
erik_lam,na,1146,1137,1146
svend_3,na,1157,1146,1157
knud_3,na,1157,1146,1157
valdemar_den_store,1131,1182,1157,1182
knud_4,1163,1202,1182,1202
valdemar_sejr,1170,1241,1202,1241
erik_plovpenning,1216,1250,1241,1250
abel,1218,1252,1250,1252
christoffer_1,1219,1259,1252,1259
erik_klipping,1249,1286,1259,1286
erik_menved ,1274,1319,1286,1319
christoffer_2,1276,1332,1319,1326
christoffer _2,1276,1332,1329,1332
valdemar_3,1315,1364,1326,1329
valdemar_atterdag,1320,1375,1340,1375
margrete_1,1353,1412,1387,1396
oluf_2,1370,1387,1375,1387
erik_af_pommern,1382,1459,1396,1439
christoffer_3,1416,1448,1440,1448
christian_1,1426,1481,1448,1481
hans,1455,1513,1482,1513
christian_2,1481,1559,1513,1523
frederik_1,1471,1533,1523,1533
christian_3,1503,1559,1536,1559
frederik_2,1534,1588,1559,1588
christian_4,1577,1648,1588,1648
frederik_3,1609,1670,1648,1670
christian_5,1646,1699,1670,1699
frederik_4,1671,1730,1699,1730
christian_6,1699,1746,1730,1746
frederik_5,1723,1766,1746,1766
christian_7,1749,1808,1766,1808
frederik_6,1768,1839,1808,1839
christian_8,1786,1848,1839,1848
frederik_7,1808,1863,1848,1863
christian_9,1818,1906,1863,1906
frederik_8,1843,1912,1906,1912
christian_10,1870,1947,1912,1947
frederik_9,1899,1972,1947,1972
margrethe_2,1940,na ,1972,2024
frederik_10,1968,na,2024,na